ID_CTE,ID_FAM,FREQUENCY
10648205,860048,16
23853,598009,64
7654546,104014,17
31970229,311316,18
17342835,106054,16
19918802,106055,16
31447843,538021,22
33281109,105071,19
37027087,314129,21
2962975,314063,19
25923996,104014,18
32373828,541069,24
32824772,314129,16
17837582,198009,37
1909639,314129,16
17265438,103239,16
10637185,701305,16
8214770,314129,25
35295916,319061,16
5195150,314064,18
24771546,319064,21
19750010,127077,16
32661721,295002,39
28192483,787254,19
34759501,325098,17
34698873,319064,23
29471613,701305,41
32635588,314129,20
19890758,290059,16
30647519,319061,17
15793955,319061,19
32944329,290059,17
22780048,381009,17
37648187,104014,27
16669305,302012,34
24834354,106059,18
7069340,106010,19
7620427,314063,17
20165034,314129,33
899710,289006,19
8590639,105007,16
21312403,202013,17
26198510,104015,21
7147824,314156,16
25205625,290059,19
14163521,312207,16
14610980,701305,17
27436552,224057,18
24603280,314063,24
41246861,104015,18
28938589,751355,22
16571575,302318,22
17338138,313155,26
32743992,302016,18
17371493,458010,21
32732505,538092,19
10502966,701305,17
2425784,798009,16
31513162,314235,16
1753197,314063,17
18494941,701305,19
14597854,458020,18
13798324,314129,19
26419522,104014,17
20206722,314064,16
21862513,319061,21
15110801,105245,18
20849729,319064,19
21588246,102089,17
27088693,701305,16
25214596,319064,23
34967672,319064,16
39900574,843020,17
8567114,314129,23
10895356,898009,26
29190288,319064,16
31568076,314129,16
15126423,245010,22
26818607,105074,16
33725171,312150,21
4848807,798009,29
15526916,701305,23
5270057,311315,16
4250117,105001,20
24641291,313096,30
22487298,742014,16
13640539,320190,19
241129,314063,16
30913510,319061,17
32919614,202011,30
19873916,202016,17
5536927,319061,21
16382011,102011,17
5540543,102012,24
27862106,106059,17
29901637,373122,16
38188099,291059,17
22249248,290059,17
8192407,319064,28
14641597,105074,18
2484485,104015,17
34542232,224065,16
38508408,224009,29
33065167,856231,16
26765505,291059,18
30139410,106055,16
29165531,701305,17
32361874,701305,16
969300,106061,21
25225403,501004,17
11309452,106010,17
19833988,420059,18
27743678,318203,17
26493896,104014,16
37095848,314129,18
17743983,477160,24
621439,106061,16
16621130,106054,16
517163,318009,16
22909571,798009,19
466866,318009,16
13520597,314235,17
18250935,101003,31
5305178,106055,17
39024449,775256,24
17624019,102011,19
6698823,796001,31
25114232,314156,16
31442564,538021,16
2496463,413238,16
13579447,106061,17
19668602,704351,19
13274764,106002,16
14157682,314064,19
36626225,314156,17
25771988,420059,17
33503366,660015,49
8745264,413238,17
1623024,751026,59
17147564,701305,24
27894349,701305,32
29091066,318009,16
1825560,413238,16
16962719,320059,20
6695955,751026,16
7069340,311315,22
31430047,102011,17
24150532,314129,19
27471155,320059,24
34799563,290059,16
19628181,224001,20
15799298,319064,20
12489317,224057,17
24722245,701305,16
18908446,224033,16
42430201,202089,16
22469410,327087,27
14157348,106059,18
32356492,312150,17
32264750,314129,17
10006068,106055,16
25363536,318009,16
24334700,289006,16
25124383,314129,19
23275950,314156,19
5169899,701305,16
25715598,106010,16
31990650,313096,28
29079699,413238,17
357457,318009,19
41444703,101004,27
24211643,313155,18
1873639,127077,17
24792354,105244,16
17102970,106062,20
2234118,298009,21
6721793,314064,29
23476542,314129,16
10802850,224081,36
15184713,319061,18
23228210,319062,42
10633581,314156,16
18486057,245010,33
22178957,106055,20
17895108,290059,16
29509856,313155,18
30698828,752051,17
28618436,290059,16
17136889,303326,21
29774349,701305,17
3016886,752081,19
331213,413238,20
8998205,320190,16
38822191,787266,19
30815343,420092,18
37623910,282002,18
37026867,318203,22
37353784,751025,17
16664559,701305,18
23213750,314235,31
30436154,312207,19
18030689,742303,17
29958153,319064,18
21739103,319064,21
4708355,106054,26
28320477,106055,24
15614977,224065,20
17563539,319064,16
2103901,320190,19
29336440,787254,17
31888339,224081,18
23371805,706364,24
23602217,224065,16
30824376,104015,16
23586751,319064,17
37183201,106055,20
20242620,106055,16
19738221,104014,16
25688862,317285,37
13533784,102012,22
35406716,224041,17
11821253,381009,19
27753603,751026,19
27174846,420083,16
27372940,106055,34
3988992,106010,18
12402691,314063,17
22212486,418277,17
14960853,319064,16
17585631,104015,21
19485004,414138,25
22539504,742304,18
24241560,106010,20
25688863,380284,20
7708479,750013,18
31589860,751026,20
16605722,314063,18
18047253,224017,18
23797802,703347,18
21410650,224033,16
17781757,106055,19
8142800,106003,17
37220073,598009,64
26203533,106001,16
30624123,701305,20
17327071,319061,31
34500622,594184,19
31872924,701305,22
23196291,418073,16
39400491,198009,41
15263404,282006,16
892649,102089,21
24167004,537020,37
19294699,224065,16
23432980,194001,17
25191390,102017,19
12163340,311316,34
24909791,598009,20
28279192,202014,16
17591257,701305,24
19878081,701305,18
30548739,224081,17
25688855,995003,17
13337166,862009,17
18800781,856231,19
13820942,398009,30
16267496,106059,17
16963988,319061,17
20424937,290059,17
18455667,701305,18
31941527,704351,20
21719670,701305,18
19806391,261004,68
1083719,282002,26
11468206,752051,20
20833536,314156,21
20936371,314063,25
31738068,313155,30
8590134,106003,16
82093,314063,18
4253366,751026,29
27725893,860048,16
31738172,314063,18
17890926,102011,19
32108976,295007,18
1858933,381009,16
10872404,313229,16
25154325,106055,19
10912633,102089,17
1731226,707369,18
34681678,314064,17
5848829,106003,18
24775543,314063,37
13821757,302192,19
1396343,105071,6
7101047,313155,6
26520070,224065,6
1935117,314063,6
33555983,224025,6
21819776,477160,6
26548925,432021,6
19700609,209032,6
37856227,314129,6
15909406,313194,6
23264217,224033,6
41460702,224065,6
16348807,596181,6
20883997,412065,6
8959464,105007,6
20292790,106059,6
29575022,313096,6
15360481,594391,6
18395223,774253,6
18766956,102011,6
4819978,323073,6
22529020,701305,6
37461590,106001,6
28467591,381009,6
7322803,704351,6
22692888,869212,6
34849092,544004,6
27920588,751363,6
37573853,224025,6
22373740,229033,6
1073776,701305,6
18644059,106055,6
6100537,202012,6
21475886,224041,6
13316914,318009,6
20366786,314129,6
27479653,869076,6
30491910,202040,6
1873727,102025,6
22048852,102016,6
26252631,106002,6
24741329,291059,6
13077117,106055,6
36628512,102016,6
38449495,418277,6
24063224,224041,6
19008603,314063,6
29847035,106055,6
37749115,863026,6
40625171,856230,6
32162124,105244,6
25885686,418277,6
12068270,106055,6
38606165,774250,6
15100811,290059,6
25807523,313096,6
24878916,857009,6
42737608,314129,6
31422006,314064,6
21585273,711378,6
12900645,869076,6
33708957,106055,6
16810745,320059,6
28510788,290059,6
29868703,105244,6
29315002,314063,6
4636598,290059,6
30760319,224057,6
17814929,224017,6
24673793,318009,6
29483719,314129,6
23321628,594184,6
41100085,751025,6
8045936,423132,6
38983674,701305,6
37381278,282006,6
7950677,701305,6
24699230,224033,6
18292034,102089,6
19332402,583024,6
32637161,701305,6
13258571,318009,6
21214502,596025,6
24607628,835130,6
22922110,245010,6
26955453,316068,6
15803021,104014,6
33831742,751026,6
25093700,423132,6
39276835,102016,6
8814680,414136,6
39386971,856047,6
22739803,102011,6
27184124,106003,6
5891620,104015,6
39990905,166001,6
38822777,106010,6
35327943,290062,6
29042639,102013,6
37181855,318073,6
33710521,224065,6
1307594,105071,6
15339332,311314,6
35131690,314156,6
11160884,106001,6
20002680,209032,6
6797505,106003,6
18370697,418277,6
33845313,105007,6
10661036,872007,6
24267896,106010,6
21050231,752081,6
19684980,313096,6
2571068,224017,6
7492437,854011,6
13500528,860130,6
16330561,318073,6
22828005,857009,6
37001859,538092,6
26371947,318009,6
32587891,384105,6
21882744,314235,6
11308861,318009,6
29776742,327116,6
37998665,752081,6
29711881,224065,6
34675601,302318,6
17185112,413238,6
23948767,506015,6
15071668,105071,6
31901285,314129,6
33046000,866212,6
6104273,454005,6
8964962,318203,6
29506461,110028,6
39647522,106003,6
677141,311316,6
37006050,106059,6
15572643,313096,6
37920050,224017,6
35458043,864009,6
34963014,104014,6
27882123,102012,6
4575276,102016,6
14492344,313155,6
12313105,224025,6
28728033,224041,6
5708543,306189,6
30133628,410032,6
22575672,585032,6
33765212,224065,6
37338372,787254,6
15911870,414137,6
19358493,106061,6
34501638,302318,6
17608021,856230,6
39294709,311315,6
19222124,290059,6
40293036,704352,6
24210153,102011,6
33174958,544095,6
29462442,318009,6
23613102,313096,6
32932330,106059,6
20901961,538021,6
22432037,775260,6
27540987,102011,6
23196518,224041,6
20113265,202089,6
15494259,323073,6
33163044,105244,6
8852556,104015,6
19415060,104014,6
36573844,106059,6
11727111,105074,6
34490413,477160,6
25194907,211079,6
28390628,102025,6
11976336,775256,6
33906718,224033,6
11202052,290059,6
29057927,701305,6
34639945,540069,6
29960357,282002,6
36681205,854174,6
26222882,313096,6
26101984,291062,6
16906116,211079,6
10870814,776274,6
977943,104015,6
20809188,290059,6
12133007,776265,6
38156158,870200,6
10620361,863047,6
37898632,319061,6
32860979,420083,6
42774400,103246,6
21995601,706361,6
30864165,224001,6
31574026,594244,6
39103705,319064,6
17481752,313064,6
18053060,501002,6
17640925,856230,6
8845901,302192,6
22820624,106010,6
25836358,224057,6
40515723,418073,6
23069239,106059,6
14051289,313096,6
29046315,327104,6
36500525,423073,6
25810562,291062,6
37140632,106059,6
28411154,384105,6
26312930,380284,6
23703760,106055,6
27599170,282002,6
12699544,224033,6
1893525,454030,6
18695481,544004,6
21504491,380284,6
28185709,506001,6
35017128,106059,6
30796186,106059,6
12510137,224033,6
17185803,102012,6
19259674,701305,6
32627124,864009,6
33240144,414137,6
27979420,835129,6
20847367,864009,6
33783621,318073,6
27782220,317205,6
14532268,863047,6
23769680,775259,6
33527385,105007,6
2057396,202014,6
32648251,224033,6
39100853,104019,6
16024521,110282,6
36768430,857009,6
5882985,102011,6
24364049,224057,6
6055977,314235,6
14864395,289071,6
13686000,318203,6
1894394,323073,6
17035554,302192,6
7029981,102016,6
20877286,202011,6
11785033,413238,6
23554399,106234,6
30240466,106010,6
14867149,105071,6
23932656,104015,6
28180341,106055,6
19979838,418278,6
38520677,867046,6
24573707,224025,6
26354222,312150,6
38235841,318009,6
33286385,106059,6
22419737,106055,6
36740515,541117,6
27965574,387157,6
33593242,314129,6
24031840,102089,6
11758812,417132,6
8488483,327116,6
31673933,224065,6
30610981,869212,6
34872315,319064,6
2644937,224009,6
37015563,242011,6
18432797,381073,6
19676989,380284,6
35212716,863047,6
2346173,835129,6
33741952,318073,6
24029006,420092,6
31800433,401002,6
11585261,291059,6
21852005,315131,6
23926302,318009,6
28587830,314129,6
27710605,102011,6
38956745,319054,6
24321977,312207,6
27073392,869076,6
767460,314129,6
18853162,541069,6
37768914,106055,6
32910265,306189,6
1475467,224033,6
22855439,319064,6
12009423,857038,6
24558585,704351,6
32528141,290059,6
28584428,774253,6
23060361,701305,6
12052184,282071,6
38944989,106055,6
17923565,544095,6
22451544,319061,6
39301893,104114,6
27452633,248001,6
33915913,860048,6
39297390,106059,6
34779879,242010,6
18312987,106061,6
6344134,102010,6
18479108,106001,6
8914234,104115,6
17995302,380535,6
30304439,541079,6
30395294,544095,6
25484468,106003,6
40088120,102089,6
30377254,420092,6
38155212,538021,6
23697973,224057,6
25718666,104020,6
32969346,313096,6
20539625,224065,6
32198300,102010,6
12998548,705357,6
24032196,319061,6
25616204,432043,6
28510382,870201,6
26095648,224057,6
23010770,224041,6
23581850,401172,6
25824544,306098,6
12924844,103079,6
38401124,106055,6
38259135,538092,6
13406480,105071,6
22729825,103087,6
18025565,103246,6
8717716,862010,6
18447612,127077,6
34876582,867289,6
12526099,313096,6
15667775,319062,6
13251698,102164,6
36520814,105001,6
26912929,317205,6
16622399,127077,6
18000146,312150,6
30962536,541060,6
32248411,106059,6
30634974,856047,6
21367657,856230,6
17313077,290059,6
8391231,224041,6
11703557,862009,6
7491615,596075,6
17278121,106059,6
21545085,106010,6
33263442,856230,6
6657725,313064,6
32530348,774253,6
11445589,867046,6
31880156,380284,6
6400058,289006,6
16544960,776265,6
18926501,102040,6
33085790,224065,6
7852933,318203,6
19695384,102011,6
8376440,701305,6
17978895,106059,6
33441759,739320,6
18101191,751026,6
33523093,101027,6
6275758,106055,6
28663176,224025,6
39937131,384218,6
30816283,540059,6
1451560,414135,6
25759009,863047,6
32343956,306189,6
39760988,104015,6
34473905,127077,6
18196517,751026,6
32208572,314129,6
33624777,224065,6
34675840,318009,6
14916680,856231,6
31973022,224033,6
28559083,538092,6
13044023,501001,6
1479249,105245,6
20740363,999001,6
11099208,101028,6
4762851,313064,6
31911093,289002,6
29777294,224017,6
20563144,245010,6
14487463,854011,6
30828486,105074,6
35302846,105245,6
12049257,751363,6
37971736,312207,6
11312981,317205,6
4444267,418073,6
31886255,701305,6
30723971,224041,6
880200,751025,6
36542161,224017,6
12504881,423132,6
32281147,318009,6
15279358,202011,6
34810888,102012,6
14909450,105245,6
28417724,224065,6
24814226,701305,6
6097631,106010,6
27146635,748017,6
24767696,751026,6
32964830,106055,6
14111784,373122,6
13622356,314063,6
18427753,106055,6
10058263,325098,6
37930513,325136,6
32028094,313229,6
34774392,224065,6
24608900,106054,6
7380781,104014,6
31696233,320190,6
32566105,105001,6
12978777,325098,6
22755558,224057,6
27011863,862009,6
41675636,318009,6
498389,314063,6
4061372,101004,6
15643721,106055,6
33316573,224033,6
27652713,224025,6
31379705,311316,6
646569,319162,6
32634738,106010,6
12017891,866038,6
36660801,282071,6
24218815,104013,6
12903559,704351,6
3850592,105001,6
19857156,224065,6
18819300,868024,6
21404440,501002,6
26701130,290059,6
22222540,856230,6
22658110,106010,6
17836315,106054,6
26330845,540059,6
19941171,224057,6
14416361,418278,6
12265126,106061,6
37957262,291059,6
32628498,384105,6
11597293,303326,6
15068419,594184,6
26696638,224057,6
4577998,106010,6
6226067,854022,6
33528203,775259,6
35252332,381009,6
11127020,538021,6
33094575,380284,6
4998698,102011,6
35187516,320143,6
7069438,319061,6
4367809,413238,6
7811289,701305,6
25404755,314156,6
37801388,106003,6
14969850,873126,6
38443993,312207,6
21297338,423132,6
26680016,102017,6
8653049,314063,6
33057952,289006,6
20136036,106059,6
18572037,855011,6
27566215,299099,6
11740802,224041,6
12760455,224001,6
25276599,867047,6
136111,106010,6
32935601,380284,6
30883394,417132,6
34828131,110028,6
34939686,866212,6
22034618,282071,6
20674838,418278,6
28999915,224041,6
14276069,864009,6
35354668,323073,6
8602512,106010,6
38447822,224009,6
6244268,313064,6
4914354,862003,6
18755820,102011,6
32283143,320059,6
27368843,224065,6
4152282,594185,6
12978925,862009,6
22281930,291059,6
36702738,867231,6
28971534,224041,6
22932550,701305,6
20592326,381009,6
1338583,835129,6
37845399,862010,6
8912831,774253,6
12773474,282002,6
20574592,309069,6
27866030,106059,6
33548710,224041,6
22173023,318009,6
18894484,701305,6
37451267,854174,6
13937758,322002,6
33931723,106055,6
30946411,105074,6
10557087,224065,6
32553318,106010,6
8390381,302016,6
12141724,314129,6
30311919,318073,6
41295630,202014,6
8884767,701305,6
32910481,320190,6
7681855,319054,6
29095324,282071,6
4634757,104115,6
29793856,701305,6
39487442,413214,6
32081433,323073,6
10702118,314156,6
32333335,106010,6
5657094,103079,6
19679630,106010,6
8734209,106061,6
29249391,104115,6
3915287,742011,6
5261270,282006,6
33905916,224041,6
35291520,320059,6
31540824,860047,6
17591384,314129,6
14885187,224009,6
29349263,410032,6
25414508,106001,6
17125338,314063,6
20715536,224081,6
28084172,864212,6
21868081,319054,6
16925901,750012,6
36714482,538092,6
21491786,380284,6
19499741,311315,6
22350725,318073,6
17313993,102089,6
15812765,701305,6
8092939,775262,6
40430953,291059,6
22863857,856230,6
29685297,787254,6
19675819,106010,6
24437405,312207,6
16789462,856230,6
15145327,701305,6
14721452,244050,6
25341512,227079,6
14063356,418278,6
26754816,596181,6
1721937,413214,6
40140327,104019,6
19856437,102011,6
29759668,290059,6
32637213,319062,6
21588132,381009,6
605383,313064,6
34770861,104020,6
12746717,862009,6
25242077,544095,6
873196,101027,6
32349001,313096,6
1646505,208001,6
29839601,863047,6
27419607,314129,6
33589000,314156,6
31886837,291059,6
39462920,105074,6
35247662,856047,6
39298484,752081,6
36473498,316068,6
32550203,224057,6
29103212,224065,6
24047542,224065,6
17778784,314129,6
14627386,102011,6
2052460,314063,6
37291249,860308,6
1507009,381009,6
26470295,291059,6
15128909,282071,6
34873164,291059,6
30845702,868028,6
818611,320059,6
4972093,224041,6
6084562,289006,6
34745921,104018,6
16285350,211079,6
26700762,106010,6
12623610,646081,6
41392444,282002,6
13998145,320190,6
36570080,413238,6
2133832,224041,6
31866568,290059,6
22880906,290062,6
16054018,319061,6
11455682,420083,6
31662929,102017,6
33188796,224057,6
27345543,701305,6
11032511,869076,6
15909463,751026,6
37229643,106001,6
23000408,316069,6
2618042,312150,6
22054070,596181,6
39810704,105245,6
13072898,866212,6
15288612,224001,6
34656610,701305,6
1894154,202011,6
21642569,106059,6
25260906,320059,6
28340765,311314,6
32909697,311316,6
17459076,104018,6
32054080,224057,6
2056442,318009,6
11953097,224041,6
33557741,102016,6
13174847,381103,6
39734567,211079,6
25950564,869212,6
24095551,314156,6
37733807,106059,6
28524041,538060,6
16899471,290059,6
18006616,317205,6
33028236,290059,6
2584134,102017,6
19860972,224017,6
366585,106002,6
30814172,290059,6
1495654,102011,6
40121435,106003,6
5897720,105074,6
6906999,224041,6
7611042,314129,6
25305283,104115,6
25932143,224065,6
30533313,313096,6
33109563,540059,6
16054529,315131,6
7033564,860241,6
32137974,127077,6
3986232,787254,6
31709439,224017,6
845550,314129,6
6461281,420083,6
22279383,127077,6
32717885,319064,6
25365799,325098,6
15555213,319139,6
33014894,224025,6
13715931,106055,6
5051550,751355,6
12553674,420059,6
27779578,538092,6
17887075,106055,6
24384434,872007,6
28680695,282071,6
32942425,864009,6
17898471,313096,6
29448842,750012,6
13723316,594244,6
17282427,541060,6
30968381,423132,6
740513,105074,6
31560139,542038,6
28264914,103079,6
5799765,317205,6
15606979,314064,6
27782923,413238,6
38463676,224057,6
11555746,413238,6
35493872,869214,6
33277404,306189,6
16275507,102011,6
33157999,224057,6
18834164,750031,6
38300459,105007,6
31367988,583023,6
32395208,752389,6
29876604,540059,6
14167757,309092,6
36661545,314156,6
36677101,291059,6
25211532,742014,6
127777,314063,6
30628677,105244,6
29045756,101027,6
30146304,384218,6
33409498,319064,6
25211334,538092,6
19698035,864212,6
30811682,106003,6
8487072,787254,6
32605498,856047,6
32084083,224065,6
12062057,303146,6
5190548,323073,6
5850265,313064,6
8406001,290059,6
17146943,101027,6
15243711,541060,6
31817942,380284,6
29352912,224001,6
29492818,106054,6
12138192,209032,6
21115523,102012,6
33585306,104015,6
18854483,102016,6
23310578,102012,6
29492481,417132,6
13536798,863026,6
294219,311315,6
14225805,835129,6
21637059,224065,6
6101069,282071,6
38144820,104019,6
21789212,314129,6
31872527,999001,6
19478598,311315,6
29395566,106003,6
28753455,306189,6
24408474,432287,6
15817210,314129,6
30628197,105244,6
21430484,317205,6
32884268,313064,6
17617929,103087,6
5645725,229008,6
16378891,314064,6
34500507,106055,6
17839484,224001,6
15521707,224085,6
33348107,106010,6
25315140,312207,6
26168763,224057,6
35447316,224057,6
32655630,856230,6
34486640,319061,6
30135975,594390,6
15735623,314156,6
27413513,106059,6
7036325,314129,6
5951306,314063,6
32646132,540060,6
21582781,282006,6
3015349,704352,6
5162999,202014,6
24251914,313155,6
30500739,381009,6
4361797,319061,6
18012296,381009,6
28191959,775261,6
26076875,289002,6
31623565,319064,6
38630786,776273,6
5610924,387299,6
1406540,413214,6
14277472,306189,6
18830619,860048,6
22026999,102011,6
22374754,106059,6
7629940,538021,6
31501953,224025,6
18618097,856231,6
8318963,105244,6
15204867,540059,6
21951963,306189,6
6010040,106061,6
37961561,856230,6
13478501,224025,6
2650485,106061,6
5141213,862009,6
11242416,380535,6
37597106,103087,6
26831328,224041,6
12580536,701305,6
34929108,868025,6
30729033,418073,6
28353282,313096,6
30732357,248001,6
40465114,319064,6
1143546,538021,6
2998963,102089,6
21773721,325098,6
38329771,538022,6
16389243,541021,6
18470287,224057,6
28108150,705357,6
21192268,835129,6
37826157,282071,6
32639865,102011,6
1379217,318003,6
31633328,224001,6
29492270,282002,6
33733289,105007,6
14545646,104015,6
36730571,775262,6
31895859,224009,6
22221537,319064,6
38532431,384218,6
33703447,860047,6
27824859,847302,6
2882829,420092,6
24599806,105007,6
28449179,106054,6
18069525,106002,6
31805864,314156,6
13720621,319061,6
23898927,585032,6
24910947,787254,6
28636437,319064,6
12996809,420092,6
743587,318003,6
13126764,103079,6
23532977,224033,6
10705388,420083,6
862901,319061,6
19329743,101028,6
4257876,314063,6
3003348,102016,6
2098566,106001,6
1380968,739106,6
27534329,380284,6
138035,314129,6
24274504,313096,6
29044251,106059,6
6634883,313064,6
23396330,291059,6
32103460,751363,6
10013210,319062,6
32165663,224057,6
26115381,312208,6
6954900,870201,6
12624718,319064,6
30508710,104115,6
15555213,749001,6
40252837,224033,6
26102589,314063,6
24230533,102011,6
2264451,330009,6
21279993,105074,6
34466831,224033,6
21649880,102017,6
17326416,314129,6
5964368,313229,6
25272234,319064,6
20877751,106059,6
32932057,306189,6
26521985,701305,6
8223135,381009,6
27636113,209032,6
28360072,318073,6
27878208,870200,6
31400751,105007,6
38843578,314063,6
39492328,585070,6
32643666,864212,6
1475493,289006,6
36641402,106055,6
5440664,106061,6
18905497,314129,6
29664861,102011,6
15721275,224033,6
10755384,306189,6
15201162,104019,6
21982092,544004,6
33084437,775256,6
24745986,101027,6
30187474,101027,6
22333388,594391,6
31710031,290059,6
8495715,646081,6
11091573,104014,6
28025583,413238,6
21323550,224065,6
26982689,774253,6
32413522,314129,6
37409733,501002,6
30832502,105071,6
37467117,867231,6
31642248,224065,6
17797659,319162,6
39731385,418071,6
21024258,583024,6
32668442,290059,6
37576511,224001,6
8014834,646266,6
20632439,381009,6
23820675,105007,6
5063797,105071,6
21806112,313155,6
34636154,327077,6
28095167,314129,6
7702481,314063,6
11806287,106002,6
18252318,774253,6
39777386,289002,6
23195346,102011,6
31573936,104014,6
26006271,868028,6
18468458,106001,6
21752406,418278,6
4656415,313155,6
26881787,224041,6
1800816,314063,6
7670962,313155,6
32422798,102089,6
305579,314063,6
22859905,413238,6
4781749,106055,6
38387883,420059,6
27015518,106059,6
312627,105071,6
24060871,202014,6
231984,318073,6
12973963,864009,6
37491759,594184,6
34875563,319062,6
30581315,106001,6
16118397,244001,6
27626803,105245,6
38259110,317205,6
38125587,701305,6
33877090,106055,6
36596773,420083,6
24995346,224065,6
8343605,314129,6
28142248,106001,6
15042921,414138,6
2860760,454030,6
40400453,106003,6
8891055,102011,6
14324802,701305,6
29397693,323073,6
38876094,302016,6
964696,102016,6
25261585,862003,6
29117751,105007,6
13181017,109069,6
26883149,701305,6
31722384,594208,6
37652097,317203,6
29353449,541060,6
28557282,868025,6
30693072,291059,6
2416109,387301,6
22512452,410222,6
35123783,776264,6
28362633,454020,6
10757736,105074,6
23441082,224025,6
14463759,538022,6
10923398,106055,6
12055436,224041,6
2647749,314129,6
22424815,224009,6
19476303,701305,6
20422093,102089,6
307060,282002,6
30773439,101027,6
33335280,224017,6
