source,target,weight
1101002,1101003,0.27455687562320513
1101002,1101649,0.32105413014325707
1101002,1101651,0.29463087580195035
1101002,1102040,0.2957159492623567
1101002,1102088,0.30693444255651725
1101002,1110149,0.2843285622137336
1101002,1110300,0.2823120668511046
1101002,1110396,0.3148533177304721
1101002,1112343,0.2920101757064721
1101002,1112344,0.31567766357479426
1101002,1112345,0.27861423318960715
1101002,1125040,0.3071124987766373
1101002,1127077,0.298365343041652
1101002,1210396,0.2743892958488081
1101002,1303520,0.3038771911287374
1101002,1401324,0.2868587994778079
1101002,1796001,0.2737806877297888
1101002,1867046,0.2726650487724367
1101002,2804004,0.2877454617741339
1101002,2985001,0.3086783049734262
1101002,2990001,0.31399276892007977
1101002,2995001,0.3089538936753771
1101002,2995002,0.30906521326216063
1101002,2995003,0.3098981128112962
1101002,2995005,0.30691288469345646
1101002,1711379,0.28740783222756877
1101002,1748029,0.2941704479057271
1101002,1750030,0.2849910204492829
1101002,1750031,0.28693167568025113
1101002,1796002,0.28448828812196725
1101002,2295038,0.27288404423559387
1101002,2804001,0.27396699230753196
1101002,2910001,0.27497947239863585
1101002,2979001,0.2719749336606401
1101002,2980003,0.2719749336606401
1101002,2994003,0.27622117149931336
1101002,2996003,0.27349854589613126
1101003,1101027,0.3484081006691135
1101003,1101028,0.3434671950448931
1101003,1101342,0.40454656149141033
1101003,1101649,0.2905230324188619
1101003,1101650,0.3167188896524141
1101003,1101651,0.3783522157094842
1101003,1102010,0.2758232853306939
1101003,1102011,0.2784564899272003
1101003,1102012,0.29117427913912935
1101003,1102013,0.2831119171797672
1101003,1102016,0.27660271614357107
1101003,1102017,0.2822760805859523
1101003,1102018,0.2707159864173362
1101003,1102025,0.29378332601436336
1101003,1102040,0.3370456409311996
1101003,1102067,0.3078531187643515
1101003,1102088,0.32580421851495023
1101003,1102089,0.27862147931160547
1101003,1102097,0.273416147602737
1101003,1102164,0.2726476252478354
1101003,1102183,0.29380417184507696
1101003,1102389,0.3032362039000589
1101003,1102414,0.2982537679372921
1101003,1102445,0.2886430589300828
1101003,1102488,0.29909237356095114
1101003,1102562,0.2954202342472494
1101003,1103001,0.2780600134708566
1101003,1103079,0.2718898847431273
1101003,1103246,0.2714685392285893
1101003,1104013,0.2814200031463634
1101003,1104014,0.27084045662544093
1101003,1104015,0.2715072016334584
1101003,1104114,0.2758879445299001
1101003,1105001,0.2823148422606577
1101003,1105007,0.2903270613117567
1101003,1105068,0.27783250504757084
1101003,1105071,0.2930630391200427
1101003,1105244,0.2794932574168473
1101003,1105245,0.27435586277972707
1101003,1105398,0.27218791689875094
1101003,1106001,0.27176546226745935
1101003,1106052,0.28736724601903
1101003,1106059,0.2987219411576381
1101003,1106234,0.2824146427246423
1101003,1106235,0.28263789922234667
1101003,1106236,0.2962040824876904
1101003,1106737,0.28392282417574943
1101003,1109002,0.27287012672853944
1101003,1109017,0.27941128620365363
1101003,1109031,0.2939851783700235
1101003,1109032,0.29006794324105545
1101003,1109033,0.28351707101596046
1101003,1109069,0.284832208443548
1101003,1109070,0.2881568629262066
1101003,1109582,0.2849664928896904
1101003,1110001,0.28543206074696476
1101003,1110030,0.2712801584645668
1101003,1110149,0.3369249200756384
1101003,1110282,0.27627105839948196
1101003,1110300,0.3379897071275889
1101003,1110396,0.3605081504497458
1101003,1112343,0.2805837169911569
1101003,1112345,0.30632817091088976
1101003,1124673,0.28042299571886536
1101003,1124674,0.27450421298036093
1101003,1124675,0.3161218844947987
1101003,1124676,0.27219655441868634
1101003,1124677,0.3054126126501688
1101003,1124736,0.3182236728523296
1101003,1125040,0.33787914647765066
1101003,1125089,0.2881878161584813
1101003,1125164,0.28715918731757895
1101003,1125244,0.30850962946938365
1101003,1125619,0.30569169831327136
1101003,1125677,0.2912859495838256
1101003,1127077,0.31736779285744765
1101003,1127079,0.30627605157783505
1101003,1194078,0.30253859081139317
1101003,1194085,0.2768115477289245
1101003,1867046,0.2987594531043602
1101003,1867047,0.27601165911809517
1101003,1867048,0.2817513863556509
1101003,1867231,0.28561132274388884
1101003,1867232,0.2817244525950479
1101003,1867308,0.2773513510631264
1101003,1868024,0.27179814253426304
1101003,1868025,0.28487085971397014
1101003,1868027,0.27822827561813235
1101003,1868179,0.2961761134786797
1101003,1868310,0.2719993042655668
1101003,1869020,0.270763306459719
1101003,1869038,0.2875077091263254
1101003,1869076,0.2707785036217162
1101003,1869211,0.3083897590747069
1101003,1869214,0.27540399387170483
1101003,1869664,0.2871507125768752
1101003,1872006,0.2817448470074513
1101003,1872198,0.3589175639907553
1101003,1106061,0.2707192318773181
1101004,1101083,0.336520286376918
1101004,1101342,0.30062949692865565
1101004,1102067,0.27620673549443053
1101004,1103001,0.27599767261334907
1101004,1103239,0.2996256752073625
1101004,1103299,0.3273637218414399
1101004,1103397,0.28791078773958606
1101004,1105398,0.2834778445772958
1101004,1109033,0.2793409318814002
1101004,1109582,0.28785695688731794
1101004,1110396,0.3104619528449136
1101004,1112343,0.2802811867448735
1101004,1124675,0.27604636330118953
1101004,1127077,0.2861215567115651
1101004,1306099,0.2736796525502914
